problem_id,gt_result,result,running time,unencodeable_reason
0,3003,3003,0.12185816606506705,
1,609,609,0.1655652078334242,
2,23,23,0.23219695896841586,
3,165,165,0.061967083951458335,
4,6732,6732,0.4247152078896761,
5,36,36,0.255861375015229,
6,200,200,0.5438428749330342,
7,1440,1440,0.34608320891857147,
8,14400,14400,1.1521407500840724,
9,117,skipped,0.0,"unencodeable, second order logic"
10,84,skipped,0.0,"unencodeable, not combinatorics"
11,28,28,0.17935220897197723,
12,540,540,0.12682729214429855,
13,6,6,0.15570929204113781,
14,9240,9240,0.09918483393266797,
15,729,729,0.11629179213196039,
16,11,skipped,0.0,"unencodeable, not combinatorics"
17,13,skipped,0.0,"unencodeable, arithmetics"
18,12,12,0.2618045408744365,
19,4,4,0.18133404082618654,
20,10,10,0.06280316691845655,
21,15,15,0.16364975017495453,
22,36,36,0.16568270814605057,
23,10080,10080,0.16253608302213252,
24,1296540,1296540,0.24035008298233151,
25,72,72,0.1373830831144005,
26,13,13,1.5463797501288354,
27,15,15,0.06301345792599022,
28,243,243,0.11612287512980402,
29,720,720,0.3079391249921173,
30,25200,25200,0.603508833097294,
31,12,12,0.17071679211221635,
32,21,21,0.2448950840625912,
33,960,960,0.374802750069648,
34,3,3,0.2345450830180198,
35,60,60,0.3008686660323292,
36,240,240,0.2579502498265356,
37,1,skipped,0.0,"unencodeable, not combinatorics"
38,3,3,0.17068600002676249,
39,720,720,0.1714541669934988,
40,560,560,0.3954509578179568,
41,1386,1386,0.1095849999692291,
42,17280,17280,0.1727347921114415,
43,15,15,0.0656922091729939,
44,672,672,0.10201466595754027,
45,2880,2880,0.22067662491463125,
46,25,25,1.0413573749829084,
47,144,144,0.16774866683408618,
48,35,35,0.25220437510870397,
49,12441600,12441600,0.4072055830620229,
50,34650,34650,1.2491444998886436,
51,26,skipped,0.0,"unencodeable, not combinatorics"
52,110,skipped,0.0,"unencodeable, not combinatorics"
53,28800,28800,3.4154422080609947,
54,10,skipped,0.0,"unencodeable, not combinatorics"
55,18,18,0.2521318339277059,
56,45045,45045,0.0981133331079036,
57,25972650,25972650,0.11153541691601276,
58,280,280,0.12180833308957517,
59,10,10,0.06967041688039899,
60,36,36,0.07708866684697568,
61,5120,5120,0.2204078750219196,
62,1920,1920,0.319012583931908,
63,220,220,0.06442708312533796,
64,576,skipped,0.0,"unencodeable, grid"
65,61328,61328,0.27841924992389977,
66,750,750,0.24134537507779896,
67,840,840,0.0923676248639822,
68,252,252,0.10544229205697775,
69,840,840,0.20136187504976988,
70,28,28,0.17147179204039276,
71,12650,12650,0.06315341708250344,
72,75075,75075,0.08643791591748595,
73,48,48,0.3901418331079185,
74,30951,30951,0.1945665841922164,
75,6,6,0.1967462080065161,
76,70,70,0.10920258285477757,
77,36,skipped,0.0,"unencodeable, not combinatorics"
78,1414,1414,0.13382566603831947,
79,0,skipped,0.0,"unencodeable, not combinatorics"
80,24,24,0.2756522090639919,
81,840,840,0.13079429208301008,
82,48,48,0.17328774998895824,
83,195,195,0.10697899991646409,
84,28,28,0.06176399998366833,
